smiles,cation_name,cation_smiles,anion_name,anion_smiles,molecular_weight
CCCCC[n+]1ccn(C)c1.O=C([O-])C1CCCN1,IM-C1-C5,CCCCC[n+]1ccn(C)c1,Pro,[O-]C(=O)C1CCCN1,267.37299999999993
CC(O)C(=O)[O-].CCCCC[n+]1ccn(C)c1,IM-C1-C5,CCCCC[n+]1ccn(C)c1,Lac,CC(O)C([O-])=O,242.319
CCCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,IM-C1-C5,CCCCC[n+]1ccn(C)c1,TFA,[O-]C(=O)C(F)(F)F,266.263
CCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,IM-C1-C5,CCCCC[n+]1ccn(C)c1,BETI,[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,533.4100000000001
CCCCC[n+]1ccn(C)c1.O=S(=O)(F)[N-]S(=O)(=O)F,IM-C1-C5,CCCCC[n+]1ccn(C)c1,FSI,[N-](S(=O)(=O)F)S(=O)(=O)F,333.382
CCCCC[n+]1ccn(C)c1.N#C[B-](C#N)(C#N)C#N,IM-C1-C5,CCCCC[n+]1ccn(C)c1,B(CN)4,[B-](C#N)(C#N)(C#N)C#N,268.133
CCCCC[n+]1ccn(C)c1.CCOP(=O)([O-])OCC,IM-C1-C5,CCCCC[n+]1ccn(C)c1,DEP,CCOP([O-])(=O)OCC,306.3430000000001
CCCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],IM-C1-C5,CCCCC[n+]1ccn(C)c1,MeSO3,CS([O-])(=O)=O,248.34799999999998
CCCCC[n+]1ccn(C)c1.O=C[O-],IM-C1-C5,CCCCC[n+]1ccn(C)c1,Formate,[O-]C=O,198.266
CCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1,IM-C1-C5,CCCCC[n+]1ccn(C)c1,Benzoate,[O-]C(=O)c1ccccc1,274.364
CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,IM-C1-C6,CCCCCC[n+]1ccn(C)c1,NTf2,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,447.423
CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,IM-C1-C6,CCCCCC[n+]1ccn(C)c1,BF4,F[B-](F)(F)F,254.07999999999996
CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,IM-C1-C6,CCCCCC[n+]1ccn(C)c1,PF6,F[P-](F)(F)(F)(F)F,312.23799999999994
CCCCCC[n+]1ccn(C)c1.[Cl-],IM-C1-C6,CCCCCC[n+]1ccn(C)c1,Cl,[Cl-],202.72899999999998
CCCCCC[n+]1ccn(C)c1.[Br-],IM-C1-C6,CCCCCC[n+]1ccn(C)c1,Br,[Br-],247.17999999999998
CCCCCC[n+]1ccn(C)c1.N#C[N-]C#N,IM-C1-C6,CCCCCC[n+]1ccn(C)c1,DCA,N#C[N-]C#N,233.319
CCCCCC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,IM-C1-C6,CCCCCC[n+]1ccn(C)c1,TCM,[C-](C#N)(C#N)C#N,257.34099999999995
CC(=O)[O-].CCCCCC[n+]1ccn(C)c1,IM-C1-C6,CCCCCC[n+]1ccn(C)c1,OAc,CC([O-])=O,226.31999999999996
CCCCCC[n+]1ccn(C)c1.N#C[S-],IM-C1-C6,CCCCCC[n+]1ccn(C)c1,SCN,[S-]C#N,225.361
CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],IM-C1-C6,CCCCCC[n+]1ccn(C)c1,NO3,[O-][N+]([O-])=O,229.27999999999997
CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,IM-C1-C6,CCCCCC[n+]1ccn(C)c1,OTf,[O-]S(=O)(=O)C(F)(F)F,316.34499999999997
CCCCCC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],IM-C1-C6,CCCCCC[n+]1ccn(C)c1,EtSO4,CCOS([O-])(=O)=O,292.401
CCCCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],IM-C1-C6,CCCCCC[n+]1ccn(C)c1,MeSO4,COS([O-])(=O)=O,278.374
